CLAVE,GER,A0,A1,A2,A3,A4,A5,A6,B0,B1,C0,C1,C2,D0,KM,IF,E0,E1,E2,E3,E4,KV,,,
A3D80,NE,0,0,0,0,0,0,1,0,0,0,0,0,0,193.8,1.03,0,0,0,0,0,400,,,
A3U80,SE,0,0,0,0,0,0,2,0,0,0,0,0,0,107.09,1.87,0,0,0,0,0,400,,,
A3030,SE,0,0,0,0,0,0,1,0,0,0,0,0,0,88,1.14,0,0,0,0,0,400,,,
A3070,C,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,400,,,
A3070,OR,0,0,0,0,0,0,1,0,0,0,0,0,0,142,0.7,0,0,0,0,0,400,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
